ID,Participante,Tipo,Equipo_Local,Goles_Local,Goles_Visitante,Equipo_Visitante
1,REAL_RESULTS,Group,Mexico,2,0,South Africa
2,REAL_RESULTS,Group,South Korea,2,1,Czech Republic
3,REAL_RESULTS,Group,Canada,1,1,Bosnia and Herzegovina
4,REAL_RESULTS,Group,United States,4,1,Paraguay
5,REAL_RESULTS,Group,Haiti,0,1,Scotland
6,REAL_RESULTS,Group,Australia,2,0,Turkey
7,REAL_RESULTS,Group,Brazil,1,1,Morocco
8,REAL_RESULTS,Group,Qatar,1,1,Switzerland
9,REAL_RESULTS,Group,Ivory Coast,1,0,Ecuador
10,REAL_RESULTS,Group,Germany,7,1,Curaçao
11,REAL_RESULTS,Group,Netherlands,2,2,Japan
12,REAL_RESULTS,Group,Sweden,5,1,Tunisia
13,REAL_RESULTS,Group,Iran,2,2,New Zealand
14,REAL_RESULTS,Group,Spain,0,0,Cape Verde
15,REAL_RESULTS,Group,Belgium,1,1,Egypt
16,REAL_RESULTS,Group,Saudi Arabia,1,1,Uruguay
17,REAL_RESULTS,Group,France,3,1,Senegal
18,REAL_RESULTS,Group,Iraq,1,4,Norway
19,REAL_RESULTS,Group,Argentina,3,0,Algeria
20,REAL_RESULTS,Group,Austria,3,1,Jordan
21,REAL_RESULTS,Group,Portugal,1,1,Democratic Republic of the Congo
22,REAL_RESULTS,Group,England,4,2,Croatia
23,REAL_RESULTS,Group,Uzbekistan,1,3,Colombia
24,REAL_RESULTS,Group,Ghana,1,0,Panama
25,REAL_RESULTS,Group,Mexico,1,0,South Korea
26,REAL_RESULTS,Group,Switzerland,4,1,Bosnia and Herzegovina
27,REAL_RESULTS,Group,Canada,6,0,Qatar
28,REAL_RESULTS,Group,Czech Republic,1,1,South Africa
29,REAL_RESULTS,Group,Brazil,3,0,Haiti
30,REAL_RESULTS,Group,Scotland,0,1,Morocco
31,REAL_RESULTS,Group,United States,2,0,Australia
32,REAL_RESULTS,Group,Turkey,0,1,Paraguay
33,REAL_RESULTS,Group,Germany,2,1,Ivory Coast
34,REAL_RESULTS,Group,Ecuador,0,0,Curaçao
35,REAL_RESULTS,Group,Netherlands,5,1,Sweden
36,REAL_RESULTS,Group,Tunisia,0,4,Japan
37,REAL_RESULTS,Group,Belgium,0,0,Iran
38,REAL_RESULTS,Group,New Zealand,1,3,Egypt
39,REAL_RESULTS,Group,Spain,4,0,Saudi Arabia
40,REAL_RESULTS,Group,Uruguay,2,2,Cape Verde
41,REAL_RESULTS,Group,France,3,0,Iraq
42,REAL_RESULTS,Group,Norway,3,2,Senegal
43,REAL_RESULTS,Group,Argentina,2,0,Austria
44,REAL_RESULTS,Group,Jordan,1,2,Algeria
45,REAL_RESULTS,Group,Portugal,5,0,Uzbekistan
46,REAL_RESULTS,Group,Panama,null,null,Croatia
47,REAL_RESULTS,Group,Colombia,0,0,Democratic Republic of the Congo
48,REAL_RESULTS,Group,England,null,null,Ghana
49,REAL_RESULTS,Group,Scotland,0,0,Brazil
50,REAL_RESULTS,Group,Morocco,0,0,Haiti
51,REAL_RESULTS,Group,South Africa,0,0,South Korea
52,REAL_RESULTS,Group,Czech Republic,0,0,Mexico
53,REAL_RESULTS,Group,Bosnia and Herzegovina,0,0,Qatar
54,REAL_RESULTS,Group,Switzerland,0,0,Canada
55,REAL_RESULTS,Group,Curaçao,0,0,Ivory Coast
56,REAL_RESULTS,Group,Ecuador,0,0,Germany
57,REAL_RESULTS,Group,Paraguay,0,0,Australia
58,REAL_RESULTS,Group,Turkey,0,0,United States
59,REAL_RESULTS,Group,Japan,0,0,Sweden
60,REAL_RESULTS,Group,Tunisia,0,0,Netherlands
61,REAL_RESULTS,Group,Senegal,0,0,Iraq
62,REAL_RESULTS,Group,Norway,0,0,France
63,REAL_RESULTS,Group,Egypt,0,0,Iran
64,REAL_RESULTS,Group,New Zealand,0,0,Belgium
65,REAL_RESULTS,Group,Cape Verde,0,0,Saudi Arabia
66,REAL_RESULTS,Group,Uruguay,0,0,Spain
67,REAL_RESULTS,Group,Panama,0,0,England
68,REAL_RESULTS,Group,Croatia,0,0,Ghana
69,REAL_RESULTS,Group,Algeria,0,0,Austria
70,REAL_RESULTS,Group,Jordan,0,0,Argentina
71,REAL_RESULTS,Group,Colombia,0,0,Portugal
72,REAL_RESULTS,Group,Democratic Republic of the Congo,0,0,Uzbekistan
73,REAL_RESULTS,R32,,0,0,
74,REAL_RESULTS,R32,Germany,0,0,
75,REAL_RESULTS,R32,,0,0,
76,REAL_RESULTS,R32,,0,0,
77,REAL_RESULTS,R32,,0,0,
78,REAL_RESULTS,R32,,0,0,
79,REAL_RESULTS,R32,Mexico,0,0,
80,REAL_RESULTS,R32,,0,0,
81,REAL_RESULTS,R32,United States,0,0,
82,REAL_RESULTS,R32,,0,0,
83,REAL_RESULTS,R32,,0,0,
84,REAL_RESULTS,R32,,0,0,
85,REAL_RESULTS,R32,,0,0,
86,REAL_RESULTS,R32,,0,0,
87,REAL_RESULTS,R32,,0,0,
88,REAL_RESULTS,R32,,0,0,
89,REAL_RESULTS,R16,,0,0,
90,REAL_RESULTS,R16,,0,0,
91,REAL_RESULTS,R16,,0,0,
92,REAL_RESULTS,R16,,0,0,
93,REAL_RESULTS,R16,,0,0,
94,REAL_RESULTS,R16,,0,0,
95,REAL_RESULTS,R16,,0,0,
96,REAL_RESULTS,R16,,0,0,
97,REAL_RESULTS,Qf,,0,0,
98,REAL_RESULTS,Qf,,0,0,
99,REAL_RESULTS,Qf,,0,0,
100,REAL_RESULTS,Qf,,0,0,
101,REAL_RESULTS,Sf,,0,0,
102,REAL_RESULTS,Sf,,0,0,
103,REAL_RESULTS,Third,,0,0,
104,REAL_RESULTS,Final,,0,0,
